Timestamp,Turbine_ID,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg,Hyd_Oil_Temp_Avg,Gear_Oil_Temp_Avg,Gear_Bear_Temp_Avg,Nac_Temp_Avg,Rtr_RPM_Max,Rtr_RPM_Min,Rtr_RPM_Avg,Amb_WindSpeed_Max,Amb_WindSpeed_Min,Amb_WindSpeed_Avg,Amb_WindSpeed_Std,Amb_WindDir_Relative_Avg,Amb_WindDir_Abs_Avg,Amb_Temp_Avg,Prod_LatestAvg_ActPwrGen0,Prod_LatestAvg_ActPwrGen1,Prod_LatestAvg_ActPwrGen2,Prod_LatestAvg_TotActPwr,Prod_LatestAvg_ReactPwrGen0,Prod_LatestAvg_ReactPwrGen1,Prod_LatestAvg_ReactPwrGen2,Prod_LatestAvg_TotReactPwr,HVTrafo_Phase1_Temp_Avg,HVTrafo_Phase2_Temp_Avg,HVTrafo_Phase3_Temp_Avg,Grd_InverterPhase1_Temp_Avg,Cont_Top_Temp_Avg,Cont_Hub_Temp_Avg,Cont_VCP_Temp_Avg,Gen_SlipRing_Temp_Avg,Spin_Temp_Avg,Blds_PitchAngle_Min,Blds_PitchAngle_Max,Blds_PitchAngle_Avg,Blds_PitchAngle_Std,Cont_VCP_ChokcoilTemp_Avg,Grd_RtrInvPhase1_Temp_Avg,Grd_RtrInvPhase2_Temp_Avg,Grd_RtrInvPhase3_Temp_Avg,Cont_VCP_WtrTemp_Avg,Grd_Prod_Pwr_Avg,Grd_Prod_CosPhi_Avg,Grd_Prod_Freq_Avg,Grd_Prod_VoltPhse1_Avg,Grd_Prod_VoltPhse2_Avg,Grd_Prod_VoltPhse3_Avg,Grd_Prod_CurPhse1_Avg,Grd_Prod_CurPhse2_Avg,Grd_Prod_CurPhse3_Avg,Grd_Prod_Pwr_Max,Grd_Prod_Pwr_Min,Grd_Busbar_Temp_Avg,Rtr_RPM_Std,Amb_WindSpeed_Est_Avg,Grd_Prod_Pwr_Std,Grd_Prod_ReactPwr_Avg,Grd_Prod_ReactPwr_Max,Grd_Prod_ReactPwr_Min,Grd_Prod_ReactPwr_Std,Grd_Prod_PsblePwr_Avg,Grd_Prod_PsblePwr_Max,Grd_Prod_PsblePwr_Min,Grd_Prod_PsblePwr_Std,Grd_Prod_PsbleInd_Avg,Grd_Prod_PsbleInd_Max,Grd_Prod_PsbleInd_Min,Grd_Prod_PsbleInd_Std,Grd_Prod_PsbleCap_Avg,Grd_Prod_PsbleCap_Max,Grd_Prod_PsbleCap_Min,Grd_Prod_PsbleCap_Std,Gen_Bear2_Temp_Avg,Nac_Direction_Avg
2016-03-31 19:10:00+00:00,T11,2016-03-31 19:10:00+00:00,1743.4,1583.6,1666.6,24.4,76.0,105,104,104,44,56,66,29,15.5,14.0,14.8,19.9,1.9,10.8,2.3,-6.1,285.3,17,0,300803.0,0,300803.0,0,-35901,0,-35901,76,90,80,46,44,31,45,39,23,-2.4,8.8,0.9,3.0,110,47,49,48,43,1802.5,1.0,50.0,401.9,399.0,401.7,1498.6,1527.3,1494.3,2102.3,1078.0,46,0.2,10.9,270.8,-215.4,-208.6,-221.4,2.6,1795.1,2000.0,1045.0,268.8,-762.3,-583.3,-1000.0,193.8,592.5,1000.0,406.1,232.4,62,291.4
2016-03-31 19:20:00+00:00,T11,2016-03-31 19:20:00+00:00,1778.4,1566.6,1657.9,29.8,76.0,104,103,103,44,56,66,29,15.7,13.9,14.7,28.5,1.6,10.3,2.4,2.9,301.0,17,0,284898.0,0,284898.0,0,-35337,0,-35337,74,87,78,45,45,31,45,38,23,-2.4,9.2,-0.3,2.1,109,47,48,47,42,1713.7,1.0,50.0,401.0,398.5,400.9,1427.7,1456.8,1424.6,2103.9,810.2,45,0.3,10.5,304.7,-212.1,-208.4,-218.5,2.5,1710.4,2000.0,782.7,295.7,-837.5,-583.3,-1000.0,186.8,659.8,1000.0,406.1,230.6,62,298.1
2016-03-31 19:30:00+00:00,T11,2016-03-31 19:30:00+00:00,1757.4,1593.2,1664.7,25.0,76.0,105,104,103,44,56,66,30,15.5,14.2,14.7,29.7,1.5,10.8,2.3,6.6,307.5,17,0,318894.0,0,318894.0,0,-35961,0,-35961,74,88,78,48,45,31,45,39,23,-2.2,6.7,0.3,1.6,109,49,51,50,44,1908.5,1.0,50.0,400.5,397.9,400.4,1589.7,1619.9,1588.6,2101.2,1396.9,45,0.2,11.0,150.9,-215.4,-211.5,-219.2,1.9,1898.4,2000.0,1352.3,147.0,-722.4,-583.3,-1000.0,172.2,507.7,1000.0,406.1,146.9,62,300.9
2016-03-31 19:40:00+00:00,T11,2016-03-31 19:40:00+00:00,1762.4,1572.9,1640.4,21.9,76.0,103,103,103,44,56,66,29,15.5,13.9,14.5,25.1,1.9,9.6,2.2,34.5,335.4,17,0,253330.0,0,253330.0,0,-35406,0,-35406,73,87,78,45,45,31,45,38,23,-2.4,5.7,-1.4,1.1,108,46,47,47,43,1520.4,1.0,50.0,401.2,398.9,400.9,1266.8,1296.5,1265.0,2103.2,962.7,45,0.2,9.8,254.3,-212.5,-203.8,-219.4,2.9,1521.8,2000.0,923.7,252.2,-953.7,-583.3,-1000.0,116.4,831.8,1000.0,406.1,192.8,61,300.9
2016-03-31 19:50:00+00:00,T11,2016-03-31 19:50:00+00:00,1697.9,1534.7,1637.4,33.3,75.0,101,101,101,43,55,65,29,15.0,13.6,14.5,27.8,1.4,9.5,2.3,-4.1,296.8,17,0,239802.0,0,239802.0,0,-34429,0,-34429,71,84,75,44,45,31,45,38,22,-2.4,3.9,-1.4,1.1,106,45,46,45,41,1434.7,1.0,50.0,400.1,397.8,399.9,1198.1,1227.5,1196.1,2096.3,819.3,44,0.3,9.6,355.1,-206.6,-194.4,-216.7,5.4,1431.8,2000.0,794.9,351.1,-936.1,-583.3,-1000.0,134.0,836.0,1000.0,406.1,220.7,61,300.9
2016-03-31 20:00:00+00:00,T11,2016-03-31 20:00:00+00:00,1712.4,1392.3,1603.1,67.2,75.0,98,98,98,42,55,65,28,15.2,12.4,14.2,16.5,1.1,8.8,2.1,-19.7,280.5,17,0,205914.0,0,205914.0,0,-34286,0,-34286,68,80,72,41,45,31,45,37,22,-2.4,2.9,-1.6,0.9,104,42,43,42,38,1234.2,1.0,50.0,398.2,395.9,397.7,1039.3,1068.8,1039.1,2102.8,541.0,43,0.6,9.0,424.4,-205.7,-194.5,-213.2,4.4,1230.7,2000.0,534.2,419.5,-957.6,-583.3,-1000.0,116.1,886.4,1000.0,406.1,194.7,60,300.2
2016-03-31 20:10:00+00:00,T11,2016-03-31 20:10:00+00:00,1725.5,1361.0,1633.7,62.4,74.0,96,97,96,42,54,64,28,15.2,12.1,14.5,27.0,2.0,9.5,2.1,-0.4,299.7,17,0,243321.0,0,243321.0,0,-34300,0,-34300,66,77,69,41,44,31,44,37,22,-2.5,4.1,-1.3,1.3,103,42,43,43,38,1462.7,1.0,50.0,398.7,396.2,398.0,1223.9,1257.9,1229.4,2100.8,590.7,42,0.6,9.6,384.4,-205.8,-196.9,-213.2,3.7,1462.3,2000.0,584.9,379.8,-929.2,-583.3,-1000.0,143.7,811.8,1000.0,406.1,218.6,60,300.2
2016-03-31 20:20:00+00:00,T11,2016-03-31 20:20:00+00:00,1726.8,1415.6,1621.1,53.3,73.0,95,95,94,41,54,64,28,15.3,12.5,14.4,22.7,0.9,9.0,2.1,8.7,316.9,17,0,211867.0,0,211867.0,0,-33653,0,-33653,65,76,68,41,44,31,44,37,22,-2.5,4.8,-1.5,1.3,102,42,43,43,38,1271.7,1.0,50.0,399.3,396.9,398.0,1060.8,1097.5,1072.8,2099.6,585.0,42,0.5,9.1,369.7,-201.9,-188.6,-213.2,6.0,1270.7,2000.0,570.8,368.3,-954.3,-583.3,-1000.0,127.0,900.9,1000.0,406.1,190.8,59,308.2
2016-03-31 20:30:00+00:00,T11,2016-03-31 20:30:00+00:00,1747.7,1459.9,1636.0,51.5,72.0,93,94,93,40,54,64,28,15.4,13.0,14.5,22.1,1.5,9.7,2.3,-0.4,301.2,17,0,250155.0,0,250155.0,0,-33937,0,-33937,63,75,67,44,44,31,43,36,22,-2.4,5.3,-0.7,2.0,101,45,46,45,40,1502.1,1.0,50.0,399.5,397.0,398.1,1250.2,1288.8,1265.9,2102.3,581.2,41,0.5,9.8,468.8,-203.6,-191.7,-215.1,6.2,1498.9,2000.0,556.0,464.7,-869.8,-583.3,-1000.0,183.5,739.7,1000.0,406.1,250.9,58,301.6
2016-03-31 20:40:00+00:00,T11,2016-03-31 20:40:00+00:00,1677.1,1368.9,1580.0,79.8,71.0,92,93,91,40,53,64,27,14.9,12.1,14.0,18.3,1.9,8.3,1.9,5.0,315.0,17,0,169735.0,0,169735.0,0,-29360,0,-29360,63,74,67,40,44,30,43,36,21,-2.4,-0.3,-1.9,0.4,101,41,42,42,38,1018.9,1.0,50.0,399.4,397.2,397.8,847.2,883.6,863.7,1859.2,406.1,41,0.7,8.3,367.0,-176.0,-146.9,-198.0,16.4,1016.0,1898.0,395.2,368.1,-998.9,-777.6,-1000.0,11.7,962.5,1000.0,508.1,90.7,57,310.0
